kospi,kosdaq,sp500,nasdaq,exchangerate,bok,price_gold,price_btc
3056.53,956.92,3773.86,13403.39,1116.51,0.5,67130.0,36517000.0
3096.81,963.81,3826.31,13612.78,1115.37,0.5,66980.0,37878000.0
3129.68,970.69,3830.17,13610.54,1113.46,0.5,66280.0,39353000.0
3087.55,964.58,3871.74,13777.74,1120.0,0.5,65920.0,39820000.0
3120.63,967.42,3886.83,13856.3,1116.77,0.5,65400.0,40482000.0
3091.24,960.78,3915.59,13987.64,1115.61,0.5,65590.0,49150000.0
3084.67,957.85,3911.23,14007.7,1110.88,0.5,66180.0,48649000.0
3100.58,964.31,3909.88,13972.53,1105.48,0.5,65840.0,48580000.0
3163.25,977.74,3932.59,14047.5,1106.58,0.5,64840.0,54780000.0
3133.73,979.77,3931.33,13965.5,1105.61,0.5,64210.0,57513000.0
3086.66,967.42,3913.97,13865.36,1106.96,0.5,63900.0,57811000.0
3107.62,965.11,3906.71,13874.47,1104.27,0.5,63540.0,63502000.0
3079.75,954.29,3876.5,13533.05,1111.59,0.5,64360.0,61723000.0
3070.09,936.6,3881.37,13465.2,1110.13,0.5,65140.0,55088000.0
2994.98,906.31,3925.43,13597.97,1107.27,0.5,65020.0,56500000.0
3099.69,936.21,3829.34,13119.43,1118.77,0.5,64480.0,53964000.0
3012.95,913.94,3811.15,13192.35,1123.89,0.5,64160.0,53588000.0
3043.87,923.17,3870.29,13358.79,1125.01,0.5,63050.0,55963000.0
3082.99,930.8,3819.72,12997.75,1126.05,0.5,63340.0,57841000.0
3043.49,926.2,3768.47,12723.47,1130.87,0.5,62960.0,56351000.0
3026.26,923.48,3841.94,12920.15,1128.0,0.5,62300.0,56506000.0
2996.11,904.77,3821.35,12609.16,1140.83,0.5,62700.0,59777000.0
2976.12,896.36,3875.44,13073.82,1134.91,0.5,62720.0,62916000.0
2958.12,890.07,3898.81,13068.83,1135.91,0.5,63560.0,64151000.0
3013.7,908.01,3939.34,13398.67,1130.35,0.5,63630.0,66103000.0
3054.39,925.49,3943.34,13319.86,1136.0,0.5,63150.0,66465000.0
3045.71,926.9,3968.94,13459.71,1132.35,0.5,63480.0,64429000.0
3067.17,940.65,3962.71,13471.57,1129.0,0.5,63480.0,65997000.0
3047.5,943.78,3974.12,13525.2,1121.21,0.5,63520.0,68346000.0
3066.01,949.83,3915.46,13116.17,1127.75,0.5,63620.0,66900000.0
3039.53,952.11,3913.1,13215.24,1129.12,0.5,63600.0,67726000.0
3035.46,955.38,3940.59,13377.54,1126.0,0.5,63280.0,64453000.0
3004.74,946.31,3910.52,13227.7,1132.9,0.5,63440.0,65314000.0
2996.35,953.82,3889.14,12961.89,1134.9,0.5,63420.0,64700000.0
3008.33,954.99,3909.52,12977.68,1135.12,0.5,63550.0,63066000.0
3041.01,956.7,3974.54,13138.72,1128.52,0.5,63230.0,65601000.0
3036.04,954.1,3971.09,13059.65,1131.56,0.5,63200.0,68391000.0
3070.0,958.06,3958.55,13045.39,1132.59,0.5,62740.0,70470000.0
3061.42,956.17,3972.89,13246.87,1127.17,0.5,62530.0,70974000.0
3087.4,965.78,4019.87,13480.11,1128.72,0.5,63010.0,72314000.0
3120.83,969.77,4077.91,13705.59,1124.18,0.5,62980.0,78300000.0
3127.08,968.63,4073.94,13698.38,1119.17,0.5,63100.0,77792000.0
3137.41,973.22,4079.95,13688.84,1119.03,0.5,62930.0,72914000.0
3143.26,982.02,4097.17,13829.31,1115.83,0.5,63000.0,75183000.0
3131.88,989.39,4128.8,13900.19,1120.98,0.5,63400.0,75642000.0
3135.59,1000.65,4127.99,13850.0,1124.32,0.5,63330.0,77974000.0
3169.08,1010.37,4141.59,13996.1,1121.37,0.5,62950.0,80661000.0
3182.38,1014.42,4124.66,13857.84,1116.08,0.5,63050.0,80171000.0
3194.33,1013.9,4170.42,14038.76,1116.68,0.5,62990.0,79425000.0
3198.62,1021.62,4185.47,14052.34,1116.5,0.5,63600.0,79213000.0
3198.84,1029.46,4163.26,13914.77,1115.33,0.5,64170.0,71001000.0
3220.7,1031.88,4134.94,13786.27,1117.28,0.5,63750.0,70289000.0
3171.66,1022.22,4173.42,13950.22,1116.35,0.5,64480.0,67805000.0
3177.52,1025.71,4134.98,13818.41,1118.79,0.5,64640.0,59500000.0
3186.1,1026.82,4180.17,14016.81,1114.72,0.5,64480.0,61380000.0
3217.53,1030.06,4187.62,14138.78,1110.27,0.5,63990.0,64196000.0
3215.42,1021.01,4186.72,14090.22,1113.33,0.5,63850.0,64738000.0
3181.47,998.27,4183.18,14051.03,1109.88,0.5,63580.0,64116000.0
3174.07,990.69,4211.47,14082.55,1107.63,0.5,63680.0,63710000.0
3147.86,983.45,4181.17,13962.68,1117.16,0.5,63550.0,68075000.0
3127.2,961.81,4192.66,13895.12,1120.34,0.5,64300.0,69876000.0
3147.37,967.2,4164.66,13633.5,1125.77,0.5,64560.0,66679000.0
3178.74,969.99,4201.62,13632.84,1120.28,0.5,65020.0,68398000.0
3197.2,978.3,4232.6,13752.24,1111.23,0.5,65730.0,68647000.0
3249.3,992.8,4188.43,13401.86,1116.68,0.5,66050.0,70731000.0
3209.43,978.61,4152.1,13389.43,1119.58,0.5,66280.0,69550000.0
3161.66,967.1,4063.04,13031.68,1132.73,0.5,66340.0,61088000.0
3122.11,951.77,4112.5,13124.99,1126.73,0.5,66300.0,62879000.0
3153.32,966.72,4173.85,13429.98,1125.79,0.5,66540.0,61526000.0
3134.52,962.5,4163.29,13379.05,1136.73,0.5,67820.0,54050000.0
3173.05,969.1,4127.83,13303.64,1126.93,0.5,68200.0,53153000.0
3162.28,971.13,4159.12,13535.74,1127.66,0.5,68550.0,51450000.0
3156.42,965.63,4155.86,13470.99,1127.63,0.5,68190.0,48930000.0
3144.3,948.37,4197.05,13661.17,1123.48,0.5,68520.0,47100000.0
3171.32,962.07,4188.13,13657.17,1122.36,0.5,68010.0,46984000.0
3168.43,966.06,4195.99,13738.0,1116.61,0.5,68540.0,47285000.0
3165.51,974.08,4200.88,13736.28,1118.55,0.5,68420.0,46514000.0
3188.73,977.46,4204.11,13748.74,1113.08,0.5,68020.0,43641000.0
3221.87,984.59,4202.04,13736.48,1108.38,0.5,68270.0,43208000.0
3224.23,981.1,4208.12,13756.33,1110.92,0.5,68040.0,43720000.0
3247.43,990.19,4192.85,13614.51,1116.46,0.5,68190.0,45440000.0
3240.08,987.58,4229.89,13814.49,1110.52,0.5,67340.0,42973000.0
3252.12,985.86,4226.52,13881.72,1110.62,0.5,67510.0,38953000.0
3247.83,986.12,4227.26,13924.91,1117.72,0.5,68100.0,38531000.0
3216.18,978.79,4219.55,13911.75,1115.61,0.5,67990.0,43259000.0
3224.64,987.77,4239.18,14020.33,1112.32,0.5,67800.0,42761000.0
3249.32,991.13,4247.44,14069.42,1116.4,0.5,67970.0,43574000.0
3252.13,997.41,4255.15,14174.14,1116.33,0.5,67060.0,46563000.0
3258.63,997.37,4246.59,14072.86,1117.09,0.5,67130.0,46373000.0
3278.68,998.49,4223.7,14039.68,1132.68,0.5,66900.0,45234000.0
3264.96,1003.72,4221.86,14161.35,1134.3,0.5,66100.0,44769000.0
3267.93,1015.88,4166.45,14030.38,1134.94,0.5,65180.0,42523000.0
3240.79,1010.99,4224.79,14141.48,1131.4,0.5,65020.0,37264000.0
